iter	Passed	Remaining
0	13	13402
1	14	7315
2	15	5157
3	16	4067
4	17	3435
5	18	3085
6	19	2742
7	20	2486
8	20	2281
9	21	2117
10	22	1981
11	22	1871
12	23	1777
13	24	1700
14	29	1945
15	31	1910
16	31	1846
17	32	1791
18	33	1736
19	34	1690
20	35	1664
21	36	1630
22	37	1594
23	39	1607
24	42	1641
25	44	1666
26	47	1706
27	48	1689
28	49	1661
29	50	1633
30	51	1607
31	52	1585
32	53	1562
33	54	1534
34	54	1510
35	55	1485
36	56	1478
37	57	1468
38	58	1449
39	59	1429
40	60	1417
41	61	1407
42	62	1394
43	64	1399
44	65	1388
45	66	1377
46	67	1364
47	68	1351
48	70	1365
49	71	1356
50	72	1343
51	73	1332
52	73	1320
53	74	1309
54	75	1298
55	76	1287
56	77	1279
57	78	1268
58	78	1256
59	79	1246
60	80	1236
61	81	1225
62	81	1214
63	82	1203
64	83	1194
65	85	1210
66	88	1229
67	90	1234
68	91	1232
69	95	1274
70	96	1267
71	97	1260
72	98	1253
73	99	1248
74	100	1245
75	101	1238
76	102	1230
77	103	1223
78	104	1217
79	105	1212
80	106	1204
81	108	1213
82	109	1209
83	111	1210
84	112	1211
85	113	1211
86	115	1207
87	116	1205
88	117	1198
89	117	1190
90	118	1183
91	119	1176
92	122	1195
93	123	1190
94	124	1184
95	125	1179
96	126	1174
97	127	1171
98	128	1166
99	128	1160
100	129	1154
101	130	1148
102	131	1144
103	132	1138
104	133	1135
105	134	1130
106	137	1143
107	137	1138
108	138	1133
109	139	1129
110	140	1126
111	141	1122
112	142	1118
113	143	1114
114	144	1110
115	145	1106
116	145	1100
117	147	1099
118	148	1096
119	148	1092
120	152	1108
121	153	1103
122	154	1098
123	155	1098
124	156	1094
125	157	1090
126	157	1085
127	159	1084
128	160	1084
129	161	1080
130	162	1075
131	163	1072
132	167	1088
133	168	1087
134	169	1086
135	170	1083
136	171	1080
137	172	1077
138	173	1074
139	174	1071
140	175	1069
141	176	1067
142	179	1073
143	182	1083
144	184	1085
145	184	1081
146	186	1080
147	187	1080
148	188	1079
149	190	1079
150	191	1078
151	192	1075
152	200	1112
153	203	1118
154	206	1126
155	209	1132
156	213	1145
157	222	1185
158	230	1219
159	231	1217
160	232	1212
161	233	1210
162	235	1208
163	236	1206
164	237	1202
165	238	1198
166	240	1197
167	244	1212
168	246	1212
169	247	1209
170	249	1207
171	256	1235
172	269	1288
173	270	1285
174	271	1281
175	273	1278
176	287	1338
177	318	1471
178	320	1470
179	322	1471
180	325	1471
181	334	1502
182	335	1497
183	336	1492
184	339	1496
185	346	1516
186	347	1512
187	349	1511
188	353	1517
189	355	1515
190	361	1529
191	363	1529
192	367	1535
193	369	1534
194	370	1529
195	377	1549
196	379	1547
197	385	1561
198	389	1568
199	391	1566
200	392	1560
201	393	1556
202	399	1566
203	401	1566
204	402	1561
205	403	1555
206	405	1553
207	406	1548
208	407	1542
209	409	1538
210	414	1550
211	416	1547
212	417	1542
213	418	1537
214	419	1532
215	420	1527
216	421	1522
217	422	1517
218	424	1512
219	426	1513
220	429	1512
221	431	1511
222	434	1513
223	435	1509
224	443	1528
225	446	1530
226	447	1525
227	448	1519
228	449	1514
229	450	1508
230	451	1502
231	458	1517
232	459	1513
233	460	1508
234	461	1503
235	462	1497
236	463	1492
237	464	1486
238	465	1481
239	466	1477
240	472	1488
241	473	1483
242	474	1478
243	475	1473
244	477	1472
245	479	1470
246	481	1466
247	482	1461
248	489	1475
249	490	1471
250	491	1467
251	492	1461
252	493	1458
253	495	1454
254	496	1449
255	497	1445
256	503	1455
257	505	1452
258	505	1447
259	506	1442
260	508	1438
261	509	1434
262	510	1430
263	511	1426
264	512	1422
265	514	1421
266	515	1416
267	516	1411
268	517	1406
269	519	1404
270	520	1400
271	521	1396
272	523	1393
273	524	1390
274	529	1396
275	531	1393
276	532	1390
277	535	1390
278	542	1402
279	544	1399
280	545	1395
281	547	1393
282	550	1394
283	556	1404
284	561	1408
285	563	1406
286	565	1403
287	566	1400
288	567	1396
289	573	1404
290	576	1404
291	579	1404
292	580	1400
293	581	1396
294	582	1392
295	583	1387
296	587	1389
297	588	1387
298	589	1382
299	590	1378
300	591	1373
301	592	1369
302	593	1365
303	594	1362
304	600	1367
305	601	1363
306	602	1359
307	603	1356
308	605	1353
309	606	1349
310	607	1345
311	608	1341
312	609	1336
313	610	1333
314	615	1337
315	616	1334
316	617	1331
317	618	1327
318	619	1323
319	620	1319
320	622	1315
321	623	1311
322	624	1308
323	628	1312
324	633	1315
325	636	1315
326	637	1312
327	639	1309
328	640	1305
329	644	1309
330	645	1305
331	646	1301
332	652	1307
333	654	1306
334	660	1310
335	666	1316
336	680	1339
337	683	1337
338	685	1336
339	686	1332
340	687	1328
341	695	1337
342	697	1335
343	698	1331
344	699	1328
345	701	1326
346	703	1323
347	709	1329
348	710	1325
349	711	1322
350	713	1318
351	715	1317
352	716	1314
353	718	1310
354	725	1318
355	727	1315
356	729	1314
357	730	1310
358	731	1306
359	732	1302
360	734	1299
361	739	1303
362	740	1299
363	741	1296
364	743	1294
365	744	1290
366	745	1286
367	747	1283
368	748	1279
369	753	1282
370	754	1279
371	755	1276
372	758	1274
373	759	1270
374	760	1267
375	762	1265
376	763	1262
377	769	1265
378	770	1263
379	772	1260
380	773	1256
381	774	1253
382	775	1249
383	776	1245
384	777	1241
385	778	1238
386	785	1243
387	786	1241
388	788	1238
389	789	1234
390	790	1230
391	791	1227
392	792	1224
393	794	1221
394	800	1225
395	802	1223
396	804	1222
397	806	1219
398	807	1215
399	808	1212
400	809	1208
401	813	1210
402	815	1208
403	816	1205
404	817	1201
405	818	1197
406	820	1194
407	821	1191
408	822	1188
409	834	1200
410	836	1198
411	839	1198
412	849	1207
413	852	1206
414	854	1204
415	855	1201
416	863	1207
417	865	1205
418	879	1219
419	886	1223
420	887	1221
421	895	1226
422	897	1224
423	900	1223
424	902	1221
425	910	1227
426	912	1224
427	913	1220
428	915	1218
429	916	1215
430	918	1212
431	927	1218
432	932	1221
433	934	1218
434	942	1224
435	945	1222
436	947	1220
437	961	1234
438	963	1231
439	971	1237
440	977	1239
441	978	1235
442	986	1240
443	988	1237
444	989	1234
445	991	1231
446	992	1228
447	995	1226
448	1002	1230
449	1003	1226
450	1006	1224
451	1016	1232
452	1022	1234
453	1025	1232
454	1027	1230
455	1029	1227
456	1031	1225
457	1033	1223
458	1052	1240
459	1055	1238
460	1062	1241
461	1067	1243
462	1070	1242
463	1078	1246
464	1080	1243
465	1083	1241
466	1091	1245
467	1105	1256
468	1112	1259
469	1127	1271
470	1131	1270
471	1132	1266
472	1133	1262
473	1141	1267
474	1143	1264
475	1145	1260
476	1146	1257
477	1147	1253
478	1149	1250
479	1157	1253
480	1158	1250
481	1160	1247
482	1161	1243
483	1172	1250
484	1175	1248
485	1176	1244
486	1188	1251
487	1191	1250
488	1196	1250
489	1199	1248
490	1206	1250
491	1213	1253
492	1215	1249
493	1223	1253
494	1224	1249
495	1225	1245
496	1226	1241
497	1228	1237
498	1230	1235
499	1235	1235
500	1237	1232
501	1248	1238
502	1251	1236
503	1259	1239
504	1262	1237
505	1267	1237
506	1270	1235
507	1271	1231
508	1273	1228
509	1274	1224
510	1276	1221
511	1278	1218
512	1281	1216
513	1287	1217
514	1295	1220
515	1303	1222
516	1307	1221
517	1308	1217
518	1309	1213
519	1310	1209
520	1311	1205
521	1312	1201
522	1313	1197
523	1317	1196
524	1319	1193
525	1320	1190
526	1321	1186
527	1324	1183
528	1325	1180
529	1328	1177
530	1330	1175
531	1331	1171
532	1332	1167
533	1334	1164
534	1335	1160
535	1337	1158
536	1338	1154
537	1339	1150
538	1343	1149
539	1344	1145
540	1346	1142
541	1348	1139
542	1349	1135
543	1350	1132
544	1352	1128
545	1353	1125
546	1358	1124
547	1359	1121
548	1361	1118
549	1363	1115
550	1364	1111
551	1365	1108
552	1366	1104
553	1367	1101
554	1368	1097
555	1373	1096
556	1375	1093
557	1377	1091
558	1378	1087
559	1379	1083
560	1380	1080
561	1381	1077
562	1383	1073
563	1384	1070
564	1390	1070
565	1392	1067
566	1393	1064
567	1394	1060
568	1395	1057
569	1396	1053
570	1397	1050
571	1398	1046
572	1405	1047
573	1408	1045
574	1411	1043
575	1413	1040
576	1422	1042
577	1423	1039
578	1427	1037
579	1428	1034
580	1433	1033
581	1435	1031
582	1437	1028
583	1438	1024
584	1439	1021
585	1440	1017
586	1441	1013
587	1442	1010
588	1442	1006
589	1443	1003
590	1446	1000
591	1448	998
592	1449	994
593	1450	991
594	1451	988
