iter	Passed	Remaining
0	14	1408
1	17	833
2	21	689
3	22	542
4	24	460
5	25	400
6	27	364
7	28	331
8	30	311
9	32	292
10	41	334
11	44	326
12	48	325
13	53	326
14	56	320
15	58	305
16	59	291
17	61	279
18	63	271
19	77	308
20	79	297
21	83	295
22	86	290
23	88	280
24	91	275
25	93	265
26	94	256
27	96	248
28	98	241
29	100	233
30	102	227
31	103	220
32	111	225
33	113	220
34	114	213
35	116	206
36	117	200
37	127	208
38	131	206
39	133	200
40	141	203
41	142	196
42	144	191
43	146	186
44	148	180
45	150	176
46	158	178
47	162	175
48	165	172
49	170	170
50	172	165
51	173	160
52	175	155
53	177	150
54	178	145
55	186	146
56	189	142
57	190	138
58	192	133
59	199	133
60	202	129
61	204	125
62	206	121
63	207	116
64	210	113
65	216	111
66	218	107
67	220	103
68	222	99
69	228	97
70	232	95
71	234	91
72	235	87
73	237	83
74	238	79
75	252	79
76	254	76
77	262	73
78	265	70
79	267	66
80	268	63
81	270	59
82	273	55
83	274	52
84	276	48
85	277	45
86	280	41
87	281	38
88	283	35
89	285	31
90	292	28
91	295	25
92	297	22
93	299	19
94	301	15
95	309	12
96	313	9
97	315	6
98	317	3
99	325	0
